"Page / section";"Cle";"Francais";"Etat";"Ne pas traduire";"WOLOF (a remplir)"
"Page FAQ";"faq.title";"Tout ce qu'il faut savoir";"ABSENT";"";""
"Page Inscription";"inscription.arabic";"مرحبا بكم";"ABSENT";"";""
"Page Inscription";"inscription.b1";"Carte de membre officielle avec matricule";"ABSENT";"";""
"Page Inscription";"inscription.b2";"Participation aux Salaatous collectifs";"ABSENT";"";""
"Page Inscription";"inscription.b3";"Accès au groupe WhatsApp du Dahira";"ABSENT";"";""
"Page Inscription";"inscription.b4";"Accompagnement spirituel toute l'année";"ABSENT";"";""
"Page Inscription";"inscription.b5";"Engagement communautaire international";"ABSENT";"";""
"Page Inscription";"inscription.btn";"Rejoindre sur WhatsApp";"ABSENT";"";""
"Page Inscription";"inscription.contact_desc";"Écrivez-nous sur WhatsApp : notre équipe vous guidera pas à pas pour votre adhésion officielle au Dahira, votre carte de membre et votre intégration à la communauté.";"ABSENT";"";""
"Page Inscription";"inscription.contact_title";"Contactez-nous pour adhérer";"ABSENT";"";""
"Page Inscription";"inscription.desc";"L'adhésion au Dahira Kippangog Salaatu ʿAlaa Nabii se fait directement avec notre équipe sur WhatsApp, pour un accueil personnalisé.";"ABSENT";"";""
"Page Inscription";"inscription.note";"Réponse rapide de l'équipe du Dahira, in cha Allah 🤲";"ABSENT";"";""
"Page Inscription";"inscription.overline";"Rejoindre la communauté";"ABSENT";"";""
"Page Inscription";"inscription.title";"Rejoindre le Dahira";"ABSENT";"";""
"Page Journee Salaatu";"journee.badge";"Événement annuel";"ABSENT";"";""
"Page Journee Salaatu";"journee.before";"Avant le grand rassemblement";"ABSENT";"";""
"Page Journee Salaatu";"journee.cta";"Découvrir la journée";"ABSENT";"";""
"Page Journee Salaatu";"journee.desc";"La Dahira KSN se réunit à Touba pour une journée entière de prières, chants des Khassida et dhikr collectif.";"ABSENT";"";""
"Page Journee Salaatu";"journee.gallery_edition";"Édition";"FRANCAIS TEL QUEL";"";""
"Page Journee Salaatu";"journee.p2_title";"Rajass — Muqàddamatul Xidma";"FRANCAIS TEL QUEL";"";""
"Page Journee Salaatu";"journee.title";"Journée Salaatu ʿAlaa Nabii";"ABSENT";"";""
"Page Le Dahira — mot du President";"motpresident.p1";"« Chers frères et sœurs en Islam, membres engagés du Dahira Kippangog Salaatu 'Alaa Nabii. C'est avec une profonde gratitude envers Allah ﷻ et un immense amour pour Son Prophète Bien-aimé Muhammad ﷺ que je m'adresse à vous. La mission spirituelle qui nous réunit est noble : propager la prière sur le Messager de Dieu ﷺ, qui est la clé de la paix intérieure, de la réussite spirituelle et du salut éternel. »";"ABSENT";"";""
"Page Le Dahira — mot du President";"motpresident.p2";"« Notre force réside dans notre unité, notre dévotion et notre discipline spirituelle. Le Challenge du milliard de Salaatou et l'application KSN sont des outils modernes mis à notre service pour unir nos voix et multiplier nos mérites. J'exhorte chaque adhérent à être assidu dans ses récitations quotidiennes et à œuvrer activement pour la cohésion et le rayonnement de notre Dahira. »";"ABSENT";"";""
"Page Le Dahira — mot du President";"motpresident.p3";"« Que la bénédiction d'Allah se répande sur chacun d'entre vous, sur vos familles et sur toute la communauté KSN. Que la prière sur le Prophète ﷺ illumine vos cœurs et purifie vos âmes. »";"ABSENT";"";""
"Page Le Dahira — mot du President";"motpresident.signature_role";"Président d'Honneur du Dahira KSN";"ABSENT";"";""
"Page Le Dahira — mot du President";"motpresident.title";"Le Mot du Président d'Honneur";"ABSENT";"";""
"Page Le Dahira — presidence";"presidence.p1_desc";"Guide moral et figure d'accompagnement spirituel du Dahira Kippangog Salaatu 'Alaa Nabii.";"ABSENT";"";""
"Page Le Dahira — presidence";"presidence.p1_role";"Président d'Honneur";"ABSENT";"";""
"Page Le Dahira — presidence";"presidence.p2_desc";"Fondateur de KSN et initiateur du rayonnement spirituel et communautaire du Dahira.";"ABSENT";"";""
"Page Le Dahira — presidence";"presidence.p2_role";"Président & Fondateur";"ABSENT";"";""
"Page Media";"media.desc";"Découvrez les activités spirituelles, événements, conférences, rassemblements, vidéos, galeries photos et moments forts de Kippangog Salaatu 'Alaa Nabii.";"ABSENT";"";""
"Page Media";"media.events_cta";"Voir Agenda";"ABSENT";"";""
"Page Media";"media.events_desc";"Gamou, journées Salaatu, rencontres spirituelles, programmes religieux et événements officiels.";"ABSENT";"";""
"Page Media";"media.events_title";"Événements KSN";"ABSENT";"";""
"Page Media";"media.photos_cta";"Explorer";"ABSENT";"";""
"Page Media";"media.photos_desc";"Photos officielles des événements, rencontres spirituelles, conférences, Gamou et activités du Dahira.";"ABSENT";"";""
"Page Media";"media.photos_title";"Galerie Photos";"ABSENT";"";""
"Page Media";"media.title";"Activités du Dahira & Vie Communautaire";"ABSENT";"";""
"Page Media";"media.videos_cta";"Regarder";"ABSENT";"";""
"Page Media";"media.videos_desc";"Visionnez conférences, zikr, Salaatou, rappels, lives et enseignements spirituels.";"ABSENT";"";""
"Page Media";"media.videos_title";"Vidéos & Conférences";"ABSENT";"";""
"Page Notre Histoire";"histoire.m3_date";"Anniversaire";"FRANCAIS TEL QUEL";"";""
"Page Notre Histoire";"histoire.m4_date";"Anniversaire";"FRANCAIS TEL QUEL";"";""
"Page Spiritualite";"spiritualite.card1_desc";"Texte arabe, translittération, traduction et bienfaits du Salaatu recommandé du jour.";"ABSENT";"";""
"Page Spiritualite";"spiritualite.card1_title";"Salaatou du Jour";"ABSENT";"";""
"Page Spiritualite";"spiritualite.card2_desc";"Accédez à une bibliothèque de Khassidas, textes religieux et contenus spirituels.";"ABSENT";"";""
"Page Spiritualite";"spiritualite.card2_title";"Khassidas";"ABSENT";"";""
"Page Spiritualite";"spiritualite.card3_desc";"Invocations quotidiennes, zikr, douas et pratiques spirituelles recommandées.";"ABSENT";"";""
"Page Spiritualite";"spiritualite.card3_title";"Azkâr & Invocations";"ABSENT";"";""
"Page Spiritualite";"spiritualite.card4_desc";"Écoutez les récitations, conférences, Salaatou et rappels audio.";"ABSENT";"";""
"Page Spiritualite";"spiritualite.card4_title";"Audios Spirituels";"ABSENT";"";""
"Page Spiritualite";"spiritualite.card5_desc";"Conférences, enseignements, rappels spirituels et vidéos officielles du Dahira.";"ABSENT";"";""
"Page Spiritualite";"spiritualite.card5_title";"Vidéos & Enseignements";"ABSENT";"";""
"Page Spiritualite";"spiritualite.desc";"Découvrez les Salaatou, Khassidas, invocations, enseignements et ressources spirituelles du Dahira Kippangog Salaatu 'Alaa Nabii.";"ABSENT";"";""
"Page Spiritualite";"spiritualite.explore_btn";"Explorer";"ABSENT";"";""
"Page Spiritualite";"spiritualite.explore_desc";"Découvrez l'univers spirituel complet de KSN et renforcez votre lien avec le Prophète ﷺ.";"ABSENT";"";""
"Page Spiritualite";"spiritualite.explore_title";"Explorer la Spiritualité";"ABSENT";"";""
"Page Spiritualite";"spiritualite.page_desc";"Salaatou du jour, bibliothèque sacrée des Salaats, Khassidas, invocations et enseignements pour vivre pleinement votre lien avec le Prophète Muhammad ﷺ.";"ABSENT";"";""
"Page Spiritualite";"spiritualite.page_overline";"Spiritualité KSN";"ABSENT";"";""
"Page Spiritualite";"spiritualite.page_title";"Nourrir le Cœur par le Salaatu ﷺ";"ABSENT";"";""
"Page Spiritualite";"spiritualite.title";"Nourrir le Cœur par le Salaatu ﷺ";"ABSENT";"";""
"Rejoindre le Dahira";"join.rule1";"Avoir une carte de membre à 1 000 FCFA";"ABSENT";"";""
"Rejoindre le Dahira";"join.rule2";"La prière sur le Prophète ﷺ est obligatoire pour chaque membre, selon le Salaatu et le nombre que tu peux";"ABSENT";"";""
"Rejoindre le Dahira";"join.rule3";"Télécharger l'application mobile pour y ajouter tes nombres de Salaatu";"ABSENT";"";""
"Rejoindre le Dahira";"join.rule4";"Une cotisation mensuelle de 500 FCFA pour l'entraide au sein du Dahira et la Journée Salaatu ʿAlaa Nabii";"ABSENT";"";""
"Temoignages";"temoignages.badge";"Ils témoignent";"ABSENT";"";""
"Temoignages";"temoignages.desc";"Des membres KSN à travers les cinq continents racontent leur expérience de la communauté, du Challenge 1 Milliard et de la spiritualité partagée.";"ABSENT";"";""
"Temoignages";"temoignages.next";"Témoignage suivant";"ABSENT";"";""
"Temoignages";"temoignages.placeholder_note";"Témoignages représentatifs de l'esprit du Dahira KSN. Les vrais membres peuvent partager leur expérience via WhatsApp pour apparaître dans cette section.";"ABSENT";"";""
"Temoignages";"temoignages.prev";"Témoignage précédent";"ABSENT";"";""
"Temoignages";"temoignages.title";"Une oumma, des voix";"ABSENT";"";""
