"Page / section";"Cle";"Francais";"Wolof actuel";"WOLOF corrige (si besoin)"
"Page Le Dahira — organigramme";"organigramme.com1_desc";"Gère le registre des membres, les inscriptions, la validation des profils et cartes.";"Mu topptoo registar mbokk yi, inscriptions ak validation kart yi.";""
"Page Le Dahira — organigramme";"organigramme.com1_title";"Commission Administrative";"Kër Administratif";""
"Page Le Dahira — organigramme";"organigramme.com2_desc";"Responsable de la boutique, de la gestion des stocks et de la logistique d'approvisionnement.";"Ku topptoo boutique bi, stock ak logistique.";""
"Page Le Dahira — organigramme";"organigramme.com2_title";"Commission Finances & Logistique";"Kër Alal & Logistique";""
"Page Le Dahira — organigramme";"organigramme.com3_desc";"Gère l'apprentissage des prières, la bibliothèque spirituelle des Salaats et les conférences.";"Mu jëf njàngum ñaan yi, bibliothèque Salaat yi ak ndaje yi.";""
"Page Le Dahira — organigramme";"organigramme.com3_title";"Commission Culturelle & Éducation";"Kër Aada & Njàng";""
"Page Le Dahira — organigramme";"organigramme.com4_desc";"Gère les réseaux sociaux du Dahira, le site web, le matériel audiovisuel et les flux en direct.";"Mu jëf réseaux sociaux Dahira ji, site bi, audiovisuel ak direct yi.";""
"Page Le Dahira — organigramme";"organigramme.com4_title";"Commission Communication & Médias";"Kër Communication & Media";""
"Page Le Dahira — organigramme";"organigramme.com5_desc";"Gère la préparation logistique des grands événements et la gestion du public.";"Mu jëf waajalu xew-xew yu mag yi ak topptoo nit ñi.";""
"Page Le Dahira — organigramme";"organigramme.com5_title";"Commission Organisation";"Kër Organisation";""
"Page Le Dahira — organigramme";"organigramme.com6_desc";"Assure l'entraide sociale entre les membres, la solidarité communautaire et les actions caritatives.";"Mu wóoral ndimbal ci mbokk yi, bokk-jëf ak jëf yu sàddax.";""
"Page Le Dahira — organigramme";"organigramme.com6_title";"Commission Sociale & Solidarité";"Kër Sosial & Bokk-jëf";""
"Page Le Dahira — organigramme";"organigramme.commission_chief";"Chef de commission";"Njiitu kër gi";""
"Page Le Dahira — organigramme";"organigramme.dir1_desc";"Guide spirituel moral, garant des valeurs et des orientations de la KSN.";"Njiit ci diiney ak jikko, kuy aar jikko ak yoonu KSN.";""
"Page Le Dahira — organigramme";"organigramme.dir2_desc";"Fondateur et directeur exécutif, gère la coordination générale internationale.";"Sosukat te njiit, mu jëf coordination bi ci àdduna bi.";""
"Page Le Dahira — organigramme";"organigramme.intro";"Découvrez la structure hiérarchique et fonctionnelle des 12 postes officiels qui composent l'administration internationale de notre Dahira.";"Xamal tëralin ak liggéeyu fukk ak ñaari palaas yu officiel yi tax na nguurug Dahira bi ci àdduna bi.";""
"Page Le Dahira — organigramme";"organigramme.level1";"Direction Spirituelle & Fondateurs";"Njiitu Diiney & Sosukat yi";""
"Page Le Dahira — organigramme";"organigramme.level2";"Secrétariat Général & Trésorerie";"Sekerteer Bu Mag & Alal";""
"Page Le Dahira — organigramme";"organigramme.level3";"Commissions Spécialisées";"Ay Kër yu Tofar";""
"Page Le Dahira — organigramme";"organigramme.overline";"Gouvernance";"Njiit";""
"Page Le Dahira — organigramme";"organigramme.sec1_desc";"Gère l'administration, la correspondance officielle et l'archivage.";"Mu jëf nguur, mbind yu officiel ak denc.";""
"Page Le Dahira — organigramme";"organigramme.sec1_title";"Secrétaire Général";"Sekerteer Bu Mag";""
"Page Le Dahira — organigramme";"organigramme.sec2_desc";"Assiste le Secrétaire Général dans toutes les tâches administratives.";"Mu dimbali Sekerteer Bu Mag ci liggéey yu nguur yépp.";""
"Page Le Dahira — organigramme";"organigramme.sec2_title";"Secrétaire Général Adjoint";"Sekerteer Bu Mag Adjoint";""
"Page Le Dahira — organigramme";"organigramme.sec3_desc";"Gère le patrimoine financier du Dahira et présente les bilans comptables.";"Mu topptoo alalu Dahira ji te wone bilan yi.";""
"Page Le Dahira — organigramme";"organigramme.sec3_title";"Trésorier Général";"Tresorier Bu Mag";""
"Page Le Dahira — organigramme";"organigramme.sec4_desc";"Seconde le trésorier dans les flux financiers et la comptabilité courante.";"Mu dimbali tresorier bi ci alal ak comptabilité.";""
"Page Le Dahira — organigramme";"organigramme.sec4_title";"Trésorier Général Adjoint";"Tresorier Bu Mag Adjoint";""
"Page Le Dahira — organigramme";"organigramme.title";"Organigramme du Bureau KSN";"Tëralinu Biro KSN";""
"Page Le Dahira — organigramme";"organigramme.vacant";"Poste à pourvoir / Éditable";"Palaas bu feeñ / Mën a soppi";""
"Page Media";"mediapage.hero_desc";"Galerie photos, vidéos, conférences, rassemblements et moments forts de Kippangog Salaatu 'Alaa Nabii.";"Galeri nataal, wideo, ndaje, daje ak jamono yu mag yu Kippangog Salaatu 'Alaa Nabii.";""
"Page Notre Histoire";"histoire.cta_contact";"Nous contacter";"Jokkoo ak nun";""
"Page Notre Histoire";"histoire.cta_desc";"L'histoire du Dahira KSN s'écrit chaque jour, avec chaque nouveau membre, chaque nouveau Salaatu. Rejoignez le mouvement.";"Taariixu Dahira KSN day bind bés bu nekk, ak mbokk mu bees mu nekk, salaatu bu bees bu nekk. Bokkal ci yëngu-yëngu bi.";""
"Page Notre Histoire";"histoire.cta_member";"Devenir membre";"Nekk mbokk";""
"Page Notre Histoire";"histoire.cta_title";"Écrire la suite avec nous";"Bind li ci kanam ak nun";""
"Page Notre Histoire";"histoire.hero_desc";"L'histoire du Dahira Kippangog Salaatu ʿAlaa Nabii : un cercle de fidèles devenu un mouvement spirituel international, animé par une seule intention — multiplier les prières sur le Prophète Muhammad ﷺ à travers le monde.";"Taariixu Dahira Kippangog Salaatu ʿAlaa Nabii: benn mbooloo mu ngëm mu nekk benn yëngu-yëngu diiney ci àdduna bi, ku ko jëme benn yéene rekk — yokk salaatu ci Yonent bi Muhammad ﷺ ci àdduna bépp.";""
"Page Notre Histoire";"histoire.hero_overline";"Notre histoire";"Sunu Taariix";""
"Page Notre Histoire";"histoire.hero_title";"De Touba au monde, depuis 2021";"Dale Touba ba àdduna bi, dale 2021";""
"Page Notre Histoire";"histoire.m1_date";"02 janvier";"02 Sanwiyee";""
"Page Notre Histoire";"histoire.m1_text";"Un cercle de fidèles, sous l'impulsion de Serigne Birima Gueye, crée officiellement le Dahira Kippangog Salaatu ʿAlaa Nabii avec une mission claire : faire de la prière sur le Prophète Muhammad ﷺ un acte communautaire quotidien, structuré et rayonnant à l'international.";"Benn mbooloo mu ngëm, ci ndigalu Serigne Birima Gueye, sos na ci officiel Dahira Kippangog Salaatu ʿAlaa Nabii ak benn yéene bu leer: def salaatu ci Yonent bi Muhammad ﷺ benn jëf bu mbokk bu bés bu nekk, bu tëral te mu leeral ci àdduna bi.";""
"Page Notre Histoire";"histoire.m1_title";"Fondation du Dahira à Touba";"Sosu Dahira ji ci Touba";""
"Page Notre Histoire";"histoire.m2_date";"Chaque semaine";"Ayu-bés bu nekk";""
"Page Notre Histoire";"histoire.m2_text";"Dès la première année, la communauté se réunit régulièrement pour réciter ensemble des millions de Prières sur le Prophète Muhammad ﷺ. Cette pratique collective devient le cœur battant et l'identité du Dahira.";"Dale ci at bu njëkk, mbooloo mi dafa daje ngir jàng ndaw ay milyoŋ Salaatu ci Yonent bi Muhammad ﷺ. Jëf bii bu mboole nekk na xolu Dahira ji ak ay melokaanam.";""
"Page Notre Histoire";"histoire.m2_title";"Des millions de Salaatu ʿAlaa Nabii";"Ay milyoŋ Salaatu ʿAlaa Nabii";""
"Page Notre Histoire";"histoire.m3_text";"Pour l'anniversaire du Dahira, une délégation rend visite à Serigne Ahmadou Mbacké à Daroul Mouhty, pour une interview sur les immenses bienfaits du Salaatu ʿAlaa Nabii.";"Ci anniversaire Dahira ji, benn delegasiyoŋ seetu na Serigne Ahmadou Mbacké ci Daroul Mouhty, ngir benn waxtaan ci njariñ yu mag yu Salaatu ʿAlaa Nabii.";""
"Page Notre Histoire";"histoire.m3_title";"Visite à Serigne Ahmadou Mbacké — Daroul Mouhty";"Seetu Serigne Ahmadou Mbacké — Daroul Mouhty";""
"Page Notre Histoire";"histoire.m4_text";"À l'occasion de l'anniversaire, la communauté est reçue par Serigne Khalil Mbacké pour une causerie spirituelle dédiée aux bienfaits et aux mérites de la Prière sur le Prophète Muhammad ﷺ.";"Ci anniversaire bi, Serigne Khalil Mbacké teeru na mbooloo mi ngir benn waxtaanu diiney ci njariñ ak teraangay salaatu ci Yonent bi Muhammad ﷺ.";""
"Page Notre Histoire";"histoire.m4_title";"Causerie auprès de Serigne Khalil Mbacké";"Waxtaan ak Serigne Khalil Mbacké";""
"Page Notre Histoire";"histoire.m5_date";"30 décembre";"30 Desàmbar";""
"Page Notre Histoire";"histoire.m5_text";"Organisation du tout premier grand rassemblement annuel à Touba : récitals du Coran, conférences d'érudits, déclamation des Khassida et dhikr collectif. La Journée devient la pierre angulaire de la vie du Dahira.";"Tëralu njëkk daje bu mag bu at mu nekk ci Touba: jàng Alxuraan, ndaje yu boroom xam-xam, jàng Khassida ak dhikr bu mboole. Bis bi nekk na pexem dund Dahira ji.";""
"Page Notre Histoire";"histoire.m5_title";"1ʳᵉ Journée Salaatu ʿAlaa Nabii";"1er Bisu Salaatu ʿAlaa Nabii";""
"Page Notre Histoire";"histoire.m6_date";"14 décembre";"14 Desàmbar";""
"Page Notre Histoire";"histoire.m6_text";"La deuxième édition confirme l'ancrage de l'événement : une affluence grandissante et une mobilisation internationale autour de la Prière sur le Prophète ﷺ.";"Ñaareelu édition bi dëgëral na tabaxu xew bi: mbooloo mu yokku ak tëgg bu àddunaay ci salaatu ci Yonent bi ﷺ.";""
"Page Notre Histoire";"histoire.m6_title";"2ᵉ édition de la Journée Salaatu";"2e édition Bisu Salaatu";""
"Page Notre Histoire";"histoire.m7_date";"13 décembre";"13 Desàmbar";""
"Page Notre Histoire";"histoire.m7_text";"La troisième édition rassemble une oumma toujours plus large, unie par la prière collective sur le Prophète Muhammad ﷺ, à Touba et à travers le monde.";"Ñetteelu édition bi dajale na benn umma bu gën a yaatu, benoo ci salaatu bu mboole ci Yonent bi Muhammad ﷺ, ci Touba ak ci àdduna bi.";""
"Page Notre Histoire";"histoire.m7_title";"3ᵉ édition de la Journée Salaatu";"3e édition Bisu Salaatu";""
"Page Notre Histoire";"histoire.origins_overline";"Les origines";"Tukkikaay yi";""
"Page Notre Histoire";"histoire.origins_p1";"Le 2 janvier 2021, à Touba, capitale spirituelle de la voie mouride et terre du Cheikh Ahmadou Bamba (qu'Allah l'agrée), un cercle de fidèles s'est constitué autour d'une conviction simple : la prière sur le Prophète Muhammad ﷺ ne doit pas rester un acte solitaire — elle doit devenir un mouvement collectif, structuré et international.";"Ci 2 Sanwiyee 2021, ci Touba, péeyu diiney bu yoonu murit te suufu Cheikh Ahmadou Bamba (yal na ko Yàlla gërëm), benn mbooloo mu ngëm tëral na ci benn ngëm bu yomb: salaatu ci Yonent bi Muhammad ﷺ warul a des benn jëf bu kenn — war na nekk benn yëngu-yëngu mu mboole, mu tëral te mu àddunaay.";""
"Page Notre Histoire";"histoire.origins_p2";"De cette intention est né le Dahira";"Ci yéene boobu la juddoo Dahira";""
"Page Notre Histoire";"histoire.origins_p3";"Cinq ans plus tard, le Dahira rassemble des milliers de membres à travers l'Afrique, l'Europe, l'Amérique et l'Asie — tous unis dans un même geste quotidien : la récitation de la Prière sur le Sceau des Prophètes ﷺ.";"Juróomi at ginaaw, Dahira ji dajale na ay junniy mbokk ci Afrik, Tugal, Amerik ak Asi — ñoom ñépp benoo ci benn jëf bu bés bu nekk: jàng salaatu ci Mujjantalu Yonent yi ﷺ.";""
"Page Notre Histoire";"histoire.origins_title";"Une vision née à Touba";"Benn gis-gis bu juddoo ci Touba";""
"Page Notre Histoire";"histoire.quote_attr";"— Le Prophète Muhammad ﷺ (rapporté par Muslim)";"— Yonent bi Muhammad ﷺ (Muslim a ko wax)";""
"Page Notre Histoire";"histoire.quote_closing";"Voilà la promesse divine qui anime chaque jour le Dahira KSN depuis 2021. Multiplier ces moments, les coordonner à l'échelle de la oumma, les rendre accessibles à tous — voilà notre mission hier, aujourd'hui et demain.";"Mooy digeb Yàlla bi di yëngal Dahira KSN bés bu nekk dale 2021. Yokk jamono yooyu, tëral leen ci umma bi, def leen ñu jot ci ñépp — mooy sunu mission démb, tey ak ëllëg.";""
"Page Notre Histoire";"histoire.quote_text";"« Celui qui prie sur moi une fois, Allah prie sur lui dix fois. »";"« Ku ma salaat benn yoon, Yàlla salaat na ci moom fukk. »";""
"Page Notre Histoire";"histoire.share_label";"Partager notre histoire";"Séddale sunu taariix";""
"Page Notre Histoire";"histoire.share_text";"Comment un cercle de fidèles à Touba est devenu un Dahira international au service de la Prière sur le Prophète ﷺ.";"Naka la benn mbooloo mu ngëm ci Touba nekk benn Dahira bu àddunaay ci jëfu salaatu ci Yonent bi ﷺ.";""
"Page Notre Histoire";"histoire.share_title";"L'histoire du Dahira KSN depuis 2021";"Taariixu Dahira KSN dale 2021";""
"Page Notre Histoire";"histoire.stat1_label";"ans d'existence";"at ci dund";""
"Page Notre Histoire";"histoire.stat2_label";"membres actifs";"mbokk yu jëfandikoo";""
"Page Notre Histoire";"histoire.stat3_label";"continents";"kontinaŋ";""
"Page Notre Histoire";"histoire.stat4_label";"Salaatu visés";"Salaatu yu ñu jublu";""
"Page Notre Histoire";"histoire.timeline_desc";"Une trajectoire qui passe du local au global, du papier au numérique, du cercle fondateur à la communauté internationale.";"Benn yoon bu jóge ci local ba global, ci kayit ba numerik, ci mbooloo mu sos ba mbooloo mu àddunaay.";""
"Page Notre Histoire";"histoire.timeline_overline";"Les grandes étapes";"Tolluwaay yu mag yi";""
"Page Notre Histoire";"histoire.timeline_title";"Les jalons de notre histoire";"Tolluwaayu sunu taariix";""
"Page Notre Histoire";"histoire.v1_text";"Toute notre activité gravite autour de la prière sur le Prophète Muhammad ﷺ. C'est notre boussole et notre identité.";"Sunu jëf yépp wëndéelu na salaatu ci Yonent bi Muhammad ﷺ. Mooy sunu boussole ak sunu melokaan.";""
"Page Notre Histoire";"histoire.v1_title";"Centralité du Prophète ﷺ";"Yonent bi ﷺ ci digg bi";""
"Page Notre Histoire";"histoire.v2_text";"L'Islam place le groupe au cœur de la spiritualité. Le Dahira incarne cette dimension : multiplier l'effort individuel par la baraka du groupe.";"Lislaam dafa teg mbooloo ci xolu diiney. Dahira ji feeñal na bii: yokk jëfu nit ku nekk ci barkeb mbooloo.";""
"Page Notre Histoire";"histoire.v2_title";"Culte collectif";"Jaamu bu mboole";""
"Page Notre Histoire";"histoire.v3_text";"Depuis Touba, capitale spirituelle, vers les cinq continents. Une oumma sans frontières unie par le Salaatu.";"Dale Touba, péeyu diiney, ba juróomi kontinaŋ yi. Benn umma bu amul dig bu salaatu benoo.";""
"Page Notre Histoire";"histoire.v3_title";"Rayonnement international";"Leeral bu àddunaay";""
"Page Notre Histoire";"histoire.v4_text";"Application mobile, site web, compteurs live — la technologie ne remplace pas la spiritualité, elle la sert et la diffuse.";"Applikaasion, site web, kontër yu direct — teknoloji du wuutu diiney, day ko jëfandikoo te tas ko.";""
"Page Notre Histoire";"histoire.v4_title";"Modernité au service du sacré";"Yeesal ci jaamu bu sell";""
"Page Notre Histoire";"histoire.values_overline";"Nos valeurs";"Sunu jikko";""
"Page Notre Histoire";"histoire.values_title";"Ce qui nous guide";"Li nu jiite";""
"Pied de page";"footer.contact";"Contact";"Jokk";""
"Pied de page";"footer.copyright";"Tous droits réservés.";"Yoonu yi nepp ñu am.";""
"Pied de page";"footer.mission_quote";"Œuvrer pour la promotion de la Prière sur le Prophète Muhammad ﷺ à travers une communauté spirituelle moderne, engagée et internationale.";"Liggéey ngir tëralu Salaatu ci Yonent bi Muhammad ﷺ jaarale ko ci mbokk mu mag, jëfandikoo te ci àdduna bi.";""
"Pied de page";"footer.mission_title";"Mission Spirituelle";"Misiyon Diiney";""
"Pied de page";"footer.navigation";"Navigation";"Doxalin";""
"Pied de page";"footer.suivez";"Suivez-nous";"Toopal nu";""
"Rejoindre le Dahira";"join.accept";"J'ai lu et j'accepte les règles d'adhésion du Dahira";"Jàng naa sart yi te nangu naa ko";""
"Rejoindre le Dahira";"join.address";"Adresse";"Fa nga dëkk";""
"Rejoindre le Dahira";"join.error_required";"Merci de remplir tous les champs obligatoires.";"Fessalal fépp fu war.";""
"Rejoindre le Dahira";"join.error_rules";"Merci de lire et d'accepter les règles d'adhésion.";"Jàngal sart yi te nangu ko.";""
"Rejoindre le Dahira";"join.first_name";"Prénom";"Sa tur";""
"Rejoindre le Dahira";"join.form_desc";"Remplis ce formulaire : ta demande sera envoyée à l'équipe du Dahira sur WhatsApp pour rejoindre le groupe officiel.";"Fessalal formulaire bii: sa ñaan dina dem ci ekibu Dahira ji ci WhatsApp ngir bokk ci groupe bu officiel bi.";""
"Rejoindre le Dahira";"join.form_title";"Demande d'intégration";"Ñaan ngir bokk";""
"Rejoindre le Dahira";"join.last_name";"Nom";"Sa sant";""
"Rejoindre le Dahira";"join.optional";"facultatif";"du war";""
"Rejoindre le Dahira";"join.phone";"Numéro de téléphone";"Nimero telefon";""
"Rejoindre le Dahira";"join.profession";"Profession";"Sa liggéey";""
"Rejoindre le Dahira";"join.rules_title";"Voici les règles pour adhérer";"Lii mooy sart yi";""
"Rejoindre le Dahira";"join.submit";"Envoyer ma demande sur WhatsApp";"Yónne sama ñaan ci WhatsApp";""
"Reseaux sociaux";"social.desc";"Retrouvez les contenus spirituels, vidéos, rappels, événements et publications officielles de KSN sur toutes nos plateformes.";"Gisal ay contenu diiney, wideo, fattali, xew ak yëgle yu officiel yu KSN ci sunu plateforme yépp.";""
"Reseaux sociaux";"social.facebook";"Publications officielles, événements et vie du Dahira.";"Yëgle yu officiel, xew ak dundu Dahira ji.";""
"Reseaux sociaux";"social.instagram";"Photos officielles, inspirations et médias.";"Nataal yu officiel, xalaat ak media.";""
"Reseaux sociaux";"social.telegram";"Communauté KSN et informations importantes.";"Mbooloo KSN ak xibaar yu am solo.";""
"Reseaux sociaux";"social.tiktok";"Capsules spirituelles et contenus courts KSN.";"Wideo yu gàtt yu diiney yu KSN.";""
"Reseaux sociaux";"social.wa_text";"Rejoignez la communauté officielle et contactez directement KSN.";"Bokkal ci mbooloo mu officiel te jokkoo ak KSN bu jëkk.";""
"Reseaux sociaux";"social.wa_title";"WhatsApp Officiel";"WhatsApp bu Officiel";""
"Reseaux sociaux";"social.youtube";"Conférences, Salaatou, enseignements et lives.";"Ndaje, Salaatou, njàngale ak live yi.";""
"Salaatu du jour";"salaatu.benefits";"Bienfaits";"Njariñ yi";""
"Salaatu du jour";"salaatu.benefits_text";"Lumière dans le cœur, proximité du Prophète ﷺ et bénédictions divines.";"Leer ci xol, jegeñentee ak Yonent bi ﷺ, ak barke Yàlla.";""
"Salaatu du jour";"salaatu.overline";"Salaatou du Jour";"Salaatou bu Tey";""
"Salaatu du jour";"salaatu.reward";"Récompense";"Yool";""
"Salaatu du jour";"salaatu.reward_text";"Allah prie 10 fois sur celui qui prie une fois sur le Prophète ﷺ.";"Yàlla day julli fukk yoon ci ki julli benn yoon ci Yonent bi ﷺ.";""
"Salaatu du jour";"salaatu.title";"Le Salaatu Recommandé";"Salaatu bu ñu Digal";""
"Salaatu du jour";"salaatu.when";"Quand le réciter";"Kañ lañ koy waxe";""
"Salaatu du jour";"salaatu.when_text";"À tout moment, particulièrement après les prières et le vendredi.";"Ci kepp, rawatina ginnaaw julli ak Aljuma.";""
"Titres de section";"section.commissions_title";"Commissions Officielles";"Kër yi Officielles";""
"Titres de section";"section.communaute_digitale";"Communauté Digitale";"Mbokk Numerik";""
"Titres de section";"section.contact_officiel";"Contact Officiel";"Jokk Officielle";""
"Titres de section";"section.contact_title";"Entrer en Contact";"Jokkalal ak nu";""
"Titres de section";"section.direction_spirituelle";"Direction Spirituelle";"Doxalin Diiney";""
"Titres de section";"section.media_ksn";"Média KSN";"Media KSN";""
"Titres de section";"section.media_title";"Activités du Dahira & Vie Communautaire";"Liggéey Dahira & Dundu Mbokk";""
"Titres de section";"section.organisation_ksn";"Organisation KSN";"Yax KSN";""
"Titres de section";"section.presidence_desc";"Une direction engagée au service du Salaatu, du développement spirituel et du rayonnement international de la KSN.";"Doxalin gu jëm ci Salaatu, suqali diiney ak leeralu KSN ci àdduna bi.";""
"Titres de section";"section.presidence_title";"Présidence du Dahira";"Doxalin Dahira ji";""
"Titres de section";"section.spiritualite_ksn";"Spiritualité KSN";"Diiney KSN";""
"Titres de section";"section.spiritualite_title";"Nourrir le Cœur par le Salaatu ﷺ";"Sëf Xol bi ci Salaatu ﷺ";""
"Titres de section";"section.suivez_partout";"Suivez KSN Partout";"Toopal KSN ci kepp";""
